	amir_1_mix_1	amir_1_mix_5	amir_1_mix_8	amir_1_mix_11	amir_1_mix_14	amir_1_mix_17	amir_1_mix_21
WBGene00005833	16.2101997158934	8.55158449878145	6.35821579548393	2.4462416201114	6.48538556384776	4.54306405156105	1.79218740137953
WBGene00005842	8.10509985794669	3.5631602078256	1.27164315909679	6.11560405027849	3.89123133830866	9.0861281031221	3.58437480275905
WBGene00005898	0	0	0	22.0161745810026	5.83684700746298	4.54306405156105	3.58437480275905
WBGene00005965	6.75424988162224	7.12632041565121	7.62985895458071	13.4543289106127	5.83684700746298	6.81459607734158	2.68828110206929
WBGene00005976	12.15764978692	0	0	0	0	2.27153202578053	0
WBGene00006016	1.35084997632445	7.12632041565121	3.81492947729036	2.4462416201114	1.29707711276955	3.40729803867079	4.48046850344881
WBGene00006039	9.45594983427114	19.2410651222583	10.1731452727743	19.5699329608912	12.3222325713107	7.95036209023184	12.5453118096567
WBGene00006040	1.35084997632445	4.98842429095585	1.27164315909679	0	0.648538556384776	2.27153202578053	4.48046850344881
WBGene00006044	1.35084997632445	5.70105633252097	2.54328631819357	1.2231208100557	0.648538556384776	2.27153202578053	0.896093700689763
WBGene00006050	10.8067998105956	7.83895245721633	7.62985895458071	14.6774497206684	12.9707711276955	9.0861281031221	11.6492181089669
WBGene00006051	5.40339990529779	5.70105633252097	12.7164315909679	2.4462416201114	1.29707711276955	0	4.48046850344881
WBGene00006053	4.05254992897335	2.13789612469536	0	3.66936243016709	3.24269278192388	1.13576601289026	0.896093700689763
WBGene00006056	10.8067998105956	5.70105633252097	10.1731452727743	1.2231208100557	1.94561566915433	4.54306405156105	5.37656220413858
WBGene00006059	1673.70312066599	1766.61483103993	1913.82295444066	2096.42906843547	1733.54356121651	1752.48695788968	1807.42099429125
WBGene00006060	8.10509985794669	7.83895245721633	12.7164315909679	13.4543289106127	6.48538556384776	11.3576601289026	5.37656220413858
WBGene00006061	324.203994317868	225.904357176143	194.561403341808	269.086578212253	311.298507064692	255.547352900309	338.72341886073
WBGene00006062	9.45594983427114	8.55158449878145	8.9015021136775	6.11560405027849	21.4017723606976	13.6291921546832	16.1296866124157
WBGene00006063	1342.7448764665	1231.42816782453	1148.2937726644	1580.27208659196	1493.58429535414	2190.89263886532	878.171826675968
