	amir_1_mix_1	amir_1_mix_5	amir_1_mix_7	amir_1_mix_8	amir_1_mix_10
WBGene00004884	1736.41003186149	1795.50582266205	1778.18424014242	1644.57392113654	1852.73636261961
WBGene00004885	151.211323529303	188.720819258335	165.26274772597	186.021689926827	165.930371911999
WBGene00004886	167.592550244977	198.023958235858	173.847825529917	189.576244511416	176.931280547049
WBGene00004887	369.207648284047	422.628313550356	375.597153922659	373.228231381851	385.031802226738
WBGene00004888	10889.7354828353	10401.5738867983	10609.0098962269	9599.66708144684	9435.1126393276
WBGene00004889	219.256419117489	253.842792101	283.307567530234	221.567235772718	259.438095309921
WBGene00004890	1.26009436274419	4.65156948876178	0	3.55455458458906	4.58371193127069
WBGene00004891	419.611422793815	388.073797348125	426.034486020845	353.085755402513	360.279757797876
WBGene00004892	1171.8877573521	1166.87943175224	1195.47208419955	1074.66033607409	1265.10449303071
WBGene00004893	529.23963235256	522.304802595251	558.030057256522	478.680017391326	479.456268010915
WBGene00004894	69.3051899509304	112.966687584215	103.020933647358	103.082082953083	104.508632032972
WBGene00004895	660.289446077955	827.979368999596	797.339101041531	746.456462763702	891.073599439023
WBGene00004896	235.637645833163	232.578474438089	284.380702255728	245.264266336645	234.686050881059
WBGene00004897	9162.146111513	8114.9952281084	9260.07954628179	9628.10351812356	8543.12229750232
WBGene00004898	653.988974264234	577.459126533426	521.54347658975	623.231903831281	473.95581369339
WBGene00004900	95.7671715685584	167.456501595424	153.458265745544	145.736737968151	146.678781800662
WBGene00004902	432.212366421257	477.782637488531	418.522542942392	569.913585062445	519.792933006097
WBGene00004906	2.52018872548838	0	2.14626945098662	1.18485152819635	4.58371193127069
WBGene00004908	16.3812267156745	17.2772581011152	8.5850778039465	16.5879213947489	10.0841662487955
WBGene00004910	11.3408492646977	15.2837283202173	10.7313472549331	13.0333668101599	24.7520444288617
WBGene00004911	0	1.9935297808979	2.14626945098662	5.92425764098176	1.83348477250828
WBGene00004912	2.52018872548838	5.98058934269371	3.21940417647994	4.73940611278541	2.75022715876242
WBGene00004913	6.30047181372095	5.31607941572774	10.7313472549331	11.8485152819635	4.58371193127069
WBGene00004914	5889.68105146634	5218.39645646375	5731.61256885978	4759.54858876475	5602.21272239904
WBGene00004915	2735.66486151764	3054.75213426255	2613.08305657622	2745.30099083095	2605.38186173426
WBGene00004916	2041.35286764559	2090.54823023494	2008.90820612348	1697.89223990537	1651.0530376437
WBGene00004917	7285.8656053869	7873.11361469279	7370.28929468807	7023.79985914797	6624.38048307241
WBGene00004918	860.644449754281	644.574629156989	582.712155942869	575.837842703427	532.627326413655
WBGene00004919	5914.88293872122	7141.48818510326	6290.7157608418	5977.5759597506	5310.68864357023
WBGene00004920	1105.10275612665	1053.24823424106	818.801795551397	1022.52686883345	802.149587972371
WBGene00004921	10.0807549019535	10.6321588314555	6.43880835295987	11.8485152819635	8.25068147628725
WBGene00004922	176.413210784187	135.560025101057	177.067229706397	137.442777270777	165.930371911999
WBGene00004923	50.4037745097676	51.8317743033455	57.9492751766389	72.2759432199775	39.419922608928
WBGene00004924	61.7446237744653	62.463933134801	78.3388349610118	87.67901308653	91.6742386254139
WBGene00004925	41.5831139705582	55.1543239381753	19.3164250588796	50.9486157124431	43.0868921539445
WBGene00004926	17.6413210784186	15.2837283202173	24.6820986863462	9.47881222557082	11.0009086350497
WBGene00004927	790.079165440607	640.587569595193	771.583867629691	678.91992565651	704.058152643178
WBGene00004928	18.9014154411628	14.6192183932513	11.8044819804264	24.8818820921234	26.58552920137
WBGene00004929	396.92972426442	447.879690775062	376.670288648153	368.488825269066	434.535891084462
WBGene00004930	6238.72718994648	6295.56704807558	6179.10974939049	6337.77082432229	5701.22090011449
WBGene00004931	647.688502450513	687.103264482811	732.951017511932	630.341013000459	594.965808678936
WBGene00004932	5.04037745097676	7.30960919662565	4.29253890197325	8.29396069737446	6.41719670377897
WBGene00004933	814.020958332746	731.625429589531	893.921226335929	930.108449634136	862.654585465144
WBGene00004945	682.971144607351	904.398010600682	738.316691139399	652.85319203619	712.308834119466
WBGene00004946	195.314626225349	223.275335460565	224.285157628102	186.021689926827	208.100521679689
WBGene00004947	85.6864166666049	73.7606018932224	80.4851044119984	80.5699039173519	103.591889646718
WBGene00004949	428.432083333024	570.814027263766	609.540524080201	462.092095996577	441.869830174495
WBGene00004950	18.9014154411628	3.32254963482984	7.51194307845319	2.3697030563927	7.33393909003311
WBGene00004951	1263.87464583242	1331.01338371283	1578.58118120066	1258.31232294453	1124.84290793383
WBGene00004952	277.220759803722	351.525751364997	285.453836981221	287.918921351714	375.864378364197
WBGene00004953	643.908219362281	558.188338651413	602.028581001748	529.628633103769	652.720579012947
WBGene00004954	7.56056617646514	5.98058934269371	3.21940417647994	7.10910916917811	9.16742386254139
WBGene00004955	181.453588235163	196.694938381927	180.286633882876	200.239908265183	171.430826229524
WBGene00004959	10.0807549019535	26.5803970786387	8.5850778039465	7.10910916917811	13.7511357938121
WBGene00004960	8.82066053920932	3.98705956179581	2.14626945098662	2.3697030563927	2.75022715876242
WBGene00004969	5.04037745097676	1.32901985393194	5.36567362746656	4.73940611278541	3.66696954501655
